stim_id,stim_cond,stim_cond_source,stim_ang,stim_eccen,stim_xpos,stim_ypos
snowshovel,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
softcheese,new,,,2.0,,
spatula03,new,,,2.0,,
speedball,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
sportsjersey,new,,,2.0,,
spraybottle01,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
sprinkler,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
squeegee01b,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
stackingring01a,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
stapler03a,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
stapleremover,new,,,2.0,,
star,new,,,2.0,,
steamroller,new,,,2.0,,
steeringwheel,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
stepladder,new,,,2.0,,
storagebin,new,,,2.0,,
strawbasket01,new,,,2.0,,
strawberry,new,,,2.0,,
studiolight,new,,,2.0,,
stuffedanimal02b,new,,,2.0,,
stuffedpuffin,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
sturgeon,new,,,2.0,,
styrofoamcup,new,,,2.0,,
sunglasses04,new,,,2.0,,
syringe01,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
tabascosauce,new,,,2.0,,
table01,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
tankertruck,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
tape02a,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
taperecorder,new,,,2.0,,
teabag,new,,,2.0,,
teapot,new,,,2.0,,
telephone01b,new,,,2.0,,
television,new,,,2.0,,
tennisball01b,new,,,2.0,,
tent,new,,,2.0,,
thimble,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
thread02,new,,,2.0,,
threeholepunch03,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
thumbtack02a,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
tiger02,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
tire,new,,,2.0,,
tissuebox01b,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
toilet,new,,,2.0,,
toiletbrush,new,,,2.0,,
toiletpaper01a,new,,,2.0,,
tomato01,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
toothpastetube,new,,,2.0,,
tortillachip,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
tortoise01,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
toucan,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
toyanimal04,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
toynutcracker,new,,,2.0,,
toysoldier01b,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
toytank,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
toytractor01b,new,,,2.0,,
tractor,new,,,2.0,,
trafficlight,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
trampoline,new,,,2.0,,
travelmug,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
tree,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
triangleruler01,new,,,2.0,,
tricycle,new,,,2.0,,
trophy01,new,,,2.0,,
tshirt,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
tupperware03a,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
tuque03a,new,,,2.0,,
turkey,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
turnip,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
usbcable01a,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951
vikingmask01b,new,,,2.0,,
violin,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
visor,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
volleyball,new,,,2.0,,
wagonwheel,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
walkietalkie,new,,,2.0,,
walkman,new,,,2.0,,
waterbottle01b,new,,,2.0,,
watercolorpaintset,new,,,2.0,,
watermelon01,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095
wetfloorsign,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
wheelchair,new,,,2.0,,
windmill,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
windshieldwasherfluid,new,,,2.0,,
windsurfboard,new,,,2.0,,
wineglass01,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095
winniethepooh,new,,,2.0,,
wirestripper,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095
witchhat,new,,,2.0,,
