session,block,trial,block_type,stim_id,stim_cond,stim_cond_source,stim_ang,stim_eccen,stim_xpos,stim_ypos,stim_onset,stim_dur,isi
1,5,46.0,recog,hardhat02,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,302.0,2.0,4.0
1,5,47.0,recog,greenolive,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,308.0,2.0,4.0
1,5,48.0,recog,mushroom01,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,314.0,2.0,5.0
1,6,1.0,loc,puttyknife,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,0.0,2.0,4.0
1,6,2.0,loc,microphone01,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,6.0,2.0,4.0
1,6,3.0,loc,jeans01,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,12.0,2.0,6.0
1,6,4.0,loc,pouch01b,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,20.0,2.0,6.0
1,6,5.0,loc,garbagecan02,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,28.0,2.0,4.0
1,6,6.0,loc,sturgeon,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,34.0,2.0,5.0
1,6,7.0,loc,tshirt,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,41.0,2.0,4.0
1,6,8.0,loc,hose,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,47.0,2.0,4.0
1,6,9.0,loc,pacifier02d,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,53.0,2.0,7.0
1,6,10.0,loc,porsche,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,62.0,2.0,6.0
1,6,11.0,loc,hardhat02,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,70.0,2.0,5.0
1,6,12.0,loc,litterbox,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,77.0,2.0,4.0
1,6,13.0,loc,watercolorpaintset,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,83.0,2.0,4.0
1,6,14.0,loc,jar03,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,89.0,2.0,7.0
